domain,file,relPath,extends_AbstractBusinessTool,has_doExecute,factoryId_in_signature,factoryId_ref_count,suspicious_count,risk,reason
foodsafety,AdditiveBomComplianceCheckTool.java,backend/java/cretas-api/src/main/java/com/cretas/aims/ai/tool/impl/foodsafety/AdditiveBomComplianceCheckTool.java,true,true,true,3,2,MEDIUM,"存在 2 条可疑模式需人工复核"
foodsafety,ColdChainAlertAcknowledgeTool.java,backend/java/cretas-api/src/main/java/com/cretas/aims/ai/tool/impl/foodsafety/ColdChainAlertAcknowledgeTool.java,true,true,true,3,2,MEDIUM,"存在 2 条可疑模式需人工复核"
foodsafety,ColdChainAlertActiveTool.java,backend/java/cretas-api/src/main/java/com/cretas/aims/ai/tool/impl/foodsafety/ColdChainAlertActiveTool.java,true,true,true,4,1,MEDIUM,"存在 1 条可疑模式需人工复核"
foodsafety,ColdChainTempQueryTool.java,backend/java/cretas-api/src/main/java/com/cretas/aims/ai/tool/impl/foodsafety/ColdChainTempQueryTool.java,true,true,true,5,2,MEDIUM,"存在 2 条可疑模式需人工复核"
foodsafety,CustomerNotifyBatchTool.java,backend/java/cretas-api/src/main/java/com/cretas/aims/ai/tool/impl/foodsafety/CustomerNotifyBatchTool.java,true,true,true,6,2,MEDIUM,"存在 2 条可疑模式需人工复核"
crm,CustomerPriceMemoryQueryTool.java,backend/java/cretas-api/src/main/java/com/cretas/aims/ai/tool/impl/crm/CustomerPriceMemoryQueryTool.java,true,true,true,4,2,MEDIUM,"存在 2 条可疑模式需人工复核"
foodsafety,FoodSampleCreateTool.java,backend/java/cretas-api/src/main/java/com/cretas/aims/ai/tool/impl/foodsafety/FoodSampleCreateTool.java,true,true,true,4,2,MEDIUM,"存在 2 条可疑模式需人工复核"
foodsafety,FoodSampleDisposeTool.java,backend/java/cretas-api/src/main/java/com/cretas/aims/ai/tool/impl/foodsafety/FoodSampleDisposeTool.java,true,true,true,3,2,MEDIUM,"存在 2 条可疑模式需人工复核"
foodsafety,HaccpCheckpointReviewTool.java,backend/java/cretas-api/src/main/java/com/cretas/aims/ai/tool/impl/foodsafety/HaccpCheckpointReviewTool.java,true,true,true,2,2,MEDIUM,"存在 2 条可疑模式需人工复核"
workdesk,HaccpStatusQueryTool.java,backend/java/cretas-api/src/main/java/com/cretas/aims/ai/tool/impl/workdesk/HaccpStatusQueryTool.java,true,true,true,2,2,MEDIUM,"存在 2 条可疑模式需人工复核"
